name,slug,category,country,founded,target_audience,mrr,revenue_30d,revenue_total,customers,active_subs,growth_30d,growth_mrr_30d,rank,profitable
Viral AI Headshot Generator,viral-ai-headshot-generator,Artificial Intelligence,GE,2025-09-10T00:00:00.000Z,B2C,0.0,0.0,3.54,0,0,0.0,0.0,5084.0,False
LectureRoast,lectureroast,Artificial Intelligence,LT,2026-03-29T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
SignalScout,signalscout,Crypto & Web3,LT,2026-04-01T00:00:00.000Z,,0.0,0.0,53.96000000000001,0,0,0.0,0.0,4052.0,False
ONLINE INVITATIONS & RSVP,online-invitations-rsvp,No-Code,AM,2026-04-14T00:00:00.000Z,B2B,0.0,0.0,1.99,0,0,-100.0,0.0,5166.0,False
Tachan.co,tachan-co,Marketplace,UA,2026-01-01T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Inbox Agent — Gmail Subscription Tracker (Chrome Extension),inbox-agent-gmail-subscription-tracker-chrome-extension,SaaS,LT,2026-04-18T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Elmar Aliyev,elmar-aliyev,Recruiting & HR,AZ,2022-10-08T00:00:00.000Z,,0.0,0.0,0.0,0,0,0.0,0.0,,False
Rendervi,rendervi,Design Tools,UA,2026-03-14T00:00:00.000Z,B2B,0.0,0.0,12.99,0,0,-100.0,-100.0,4721.0,False
Read What Matters,read-what-matters,Productivity,EE,2026-03-03T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Blicas,blicas,SaaS,LT,2026-04-23T00:00:00.000Z,B2C,0.0,0.0,52.41846939971146,0,0,-100.0,0.0,4067.0,False
Activeo.app,activeo-app,Health & Fitness,AM,2025-05-01T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
SiteStarter.co,sitestarter-co,No-Code,LV,2025-02-08T00:00:00.000Z,B2C,0.0,0.0,0.7203572233259844,0,0,0.0,0.0,5256.0,False
GlobalAICore,globalaicore,Artificial Intelligence,UA,2026-01-01T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Propcraft,propcraft,SaaS,EE,2026-05-04T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
Cycling Events,cycling-events,Community,LT,2026-05-20T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
LetterStack,letterstack,Developer Tools,AZ,2026-05-23T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
ProductDesk,productdesk,Developer Tools,AZ,2026-05-23T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
JobsWFA,jobswfa,Recruiting & HR,EE,2026-05-12T00:00:00.000Z,,0.0,0.0,0.0,0,0,,,,False
